ID,公司名称,职位名称,学历要求,工作经验,薪资,福利,工作内容,所属行业,上市情况,公司规模,岗位职责和任职要求
4725965,重庆市由来科技有限公司,大数据开发工程师,本科,1-3年,8k-16k,"高能力,高收入,重发展","Hadoop,数据挖掘,数据分析","移动互联网,数据服务",未融资,15-50人,1、负责定位和解决集群组件如HDFS、Spark、Hive、HBase等的功能、性能和高可用等问题； 2、负责基于大数据的用户行为分析、用户轨迹分析、深度学习算法的学习和研究； 3、协助基于大数据的项目预研和开发。 任职要求： 1、本科或以上学历，数学、统计学、计算机、软件工程等相关专业；2、3年以上传统软件开发经历；1年以上大数据开发经历； 3、熟练使用Python、Java、C/C++等主流开发语言中至少一种； 4、熟悉Mysql、Oracle、SQLServer等关系数据库； 5、熟悉Hadoop、Spark等主流大数据框架； 6、熟练掌握常见Linux shell命令； 7、较强的学习、逻辑思维和沟通能力；良好的英语阅读能力；积极主动，思维活跃；8、能接受全国范围短期出差，出差周期一般为1个月左右；9、有大数据相关项目开发或者学习经验者优先；
4359820,重庆星坛科技有限公司,高级PHP开发工程师,不限,3-5年,15k-20k,"团队合作,自主研发",Java,移动互联网,不需要融资,150-500人,"岗位职责：  1. 游戏平台管理系统开发；  2. 负责项目的模块设计、实现、文档编写、bug修改；  3. 对现有程序进行bug修复、 改进；  4. 对现有系统进行架构升级，以提升：数据实时性、负载能力、查询效率、强壮度、可维护性，以及对商业模式的支持，例如代理商查询后台岗位要求：  1. 熟练使用PHP，有长期的PHP开发经验；  2. 有架构思维，良好的模块设计能力和技术文档编写能力；  3. 熟练掌握关系式数据库，表结构设计、sql性能调优；  4. 具有团队精神和敬业精神，良好的沟通能力和独立解决问题的能力；  5. 本科相关专业学历或3年以上开发经验加分项目:  1. 熟悉多种语言, 例如: golang、ruby、python、javascript(node)，并使用这些语言开发过项目；  2. 熟练使用linux系统；  3. 在github上有原创个人项目；  4. 有游戏平台或ERP类型项目开发经验；"
4066535,重庆迅游科技有限公司,运维工程师,大专,3-5年,7k-12k,"五险一金,带薪年假,餐补交补,年终奖",Linux,"移动互联网,游戏",不需要融资,150-500人,"岗位职责:1、负责公司业务服务器，云平台服务器基础运维架构搭建。新技术和方案进行调研，评估和引进，用技术去满足业务发展需求。2、要求熟悉各云平台产品，能熟练使用，配置。3、监控各业务应用系统，及时响应故障告警，排查问题并修复问题。4、对CC,DDOS类攻击，防御，处理有一定经验，并能提出具体解决方案。5、积累运维相关技术，制定运维规范，并实现文档化。任职要求:1、有良好的工作态度与团队合作精神，工作认真负责，责任心强。2、3年以上大型网站或网络游戏服务器的管理维护经验。3、熟悉TCP/IP、路由、交换理论，能够对网络设备进行基础配置。4、熟悉常见操作系统（Windows Server，Linux）安装，配置，优化。5、深入理解LVS,Haproxy,Nginx/Tengine原理和优化。6、熟悉使用常用开源软件，(ELK/Zabbix/Ansible/MySQL/MSSQL/Redis/MongoDB等)。对MSSQL集群，MySQL读写分离/高可用，有实际项目经验。7、具备应对各类攻击，如CC/DDOS等攻击，防护能力，并能提出具体解决方案。8、具备Python语言开发能力，熟悉shell脚本。能够独立完成自动化运维平台的开发，如监控、部署、配置，发版等。9、熟悉游戏业务逻辑，系统架构，并能对游戏系统架构进行优化。10、有较强的抗压能力、沟通能力、推动能力和较好的服务意识。11、能够接受一定程度的出差。"
3442209,重庆允升科技有限公司,算法工程师,硕士,3-5年,15k-25k,"平台大,技术氛围好,股权激励,带团队","Java,Scala,PHP,机器学习","电子商务,企业服务",A轮,50-150人,工作职责：1、参与推荐系统算法设计、系统实现以及部署实施；2、负责中文文本的NLP算法研究和工程实现；任职要求：1、计算机或相关专业本科以上学历，3年及以上相关工作经验；2、熟悉常用的机器学习算法(如SVM/LR/GBDT等)，并能针对不同的场景(如分类、聚类、推荐等)使用不同的算法，具有推荐系统、精准广告、搜索等方面的实际工作经验；3、熟悉n-gram分析、分词、新词发现、LDA、word2vec等，有相关的工程开发经验；4、 熟练掌握至少一种编程语言，Java、C++、Python等；5、做事严谨踏实，责任心强，有良好的团队合作精神和沟通协调能力。
4878148,完美世界（北京）网络技术有限公司,数据工程师(4173),本科,1-3年,10k-15k,"五险一金,员工食堂,免费健身房","MySQL,Java,算法",移动互联网,A轮,2000人以上,1.负责对各类数据的重构、异构2.根据项目需求，批量数据处理和导出3.爬虫开发4.数据解析工作，从海量网页里做数据抽取并入库5.学习 Spark + Hadoop 的大数据处理平台，负责对各类日志、数据进行批量或实时流处理，输出到运营中心或推荐、搜索系统1. 本科及以上学历2. 良好的计算机及算法基础、积极主动、热爱编程，能吃苦，能承受压力3. 熟悉掌握 Java 或 Python 语言4. 了解面向对象编程5. 有数据库经验（例如MySQL、Redis等）优先
5332526,中冶赛迪重庆信息技术有限公司,深度学习算法工程师,硕士,3-5年,10k-20k,世界500强央企 大平台,,移动互联网,不需要融资,150-500人,"工作职责：1、研发高质量的计算机视觉和深度学习算法，包括但不限于目标检测、目标识别、目标跟踪、目标定位。2、负责影像数据的标注方案设计和质量检查。3、支持公司视觉相关产品的研发。任职资格：1、在深度学习、计算机视觉等方面有较深入的研究；2、具有良好的编程、工程实现和调优能力,熟练掌握c/c++,Python。3、了解深度学习的进展,熟悉MXNET,TENSORFLOW,CAFFE等至少一种深度学习框架,有GPU上模型训练的经验。4、熟悉物体(人脸、人体、通用目标)检测、跟踪和识别的基本算法,熟悉相关的开源项目。"
5218358,北京数起科技有限公司,前端开发工程师,本科,1-3年,6k-8k,"五险一金,项目提成,发展机遇",Web前端,移动互联网,A轮,50-150人,岗位职责：1、根据产品经理的关键需求进行前端架构设计工作；2、承担前端核心模块的设计、实现工作；3、承担主要前端开发工作，对代码质量及进度负责；4、参与进行关键技术验证以及技术选型工作；5、和产品经理沟通并确定产品开发需求；6、与后台开发工程师配合，完成开发任务和上线；任职要求：1、统招本科及以上学历，计算机相关理工科专业，3年左右相关经验；2、精通HTML、CSS、JavaScript语言，了解HTML5、CSS3的新标准，熟悉JQuery类库，熟练使用一到两种前端调试工具；3、至少熟练使用过Vue、React、AngularJS其中一种JS框架；4、掌握至少一门非前端开发语言（如PHP/Java/Python/Ruby等），并有一定的实战经验；5、深刻理解Web标准，对前端性能、可访问性、可维护性等相关知识有实际的了解和实践经验；6、工作积极主动，具有很强的学习能力、对新技术的追求精神、良好的团队合作精神和沟通能力；
447764,重庆誉存大数据科技有限公司,数据工程师,本科,1-3年,8k-16k,大数据，顶级团队，硅谷公司文化,,金融,A轮,50-150人,岗位职责：1、完成各种数据的清洗和分析建模2、机器学习算法调优3、负责数据平台API的开发、设计和维护4、将模型应用到产品当中，并根据产品需求优化模型 任职资格：1、专业&基础：计算机、统计学、数学等相关专业，有较强的算法理论基础2、语言&工具：Ø  掌握常见的机器学习算法Ø  熟悉Linux开发环境，至少熟悉Python/Java/scala其中一种语言Ø  熟悉PostgreSQL/MySQL数据库Ø  熟悉git/svn代码管理工具Ø  熟悉Hadoop/Storm/Spark/HIVE/Hbase等分布式开源项目及其工作原理，并有实际开发经验Ø  熟悉Web API开发流程（中级以上）Ø  熟悉常见的基于深度学习的自然语言处理技术3、其他要求：Ø  具备良好的沟通能力和团队精神，有独立开展研究项目经验Ø  较强的表达和沟通能力，工作认真、严谨和敬业目前公司处于快速发展期，提供良好的福利待遇：1、五险；2、每月团队聚会活动；3、每周篮球足球羽毛球等体育活动；4、弹性工作制；5、提供零食点心；6、提供带薪假期约妹子！
4715859,特斯联（北京）科技有限公司,软件工程师-Web后端,本科,5-10年,10k-20k,大平台,"Golang,Node.js,Python","移动互联网,硬件",B轮,150-500人,"职位职责：  1、负责 WEB 后端服务程序的研发和编写；2、和前端工程师和 BI 工程师配合，商定数据接口，提供数据可视化支持。 职位要求：  1、有服务监控系统开发相关经验；2、2年及以上 WEB 后端工作经验；3、精通 TCP/IP, HTTP 协议，以及 RESTFUL 规范；4、基础扎实，有良好的逻辑思维能力，并熟练一到两种后端语言（Golang / Python / Java），拥有良好的代码书写习惯；5、熟悉 Linux/Unix 系统与开发环境；6、熟悉 MySQL 、 MongoDB、Git/GitHub、Nginx。【加分项】1、熟悉 Go 语言、Python语言；2、GitHub project star 100+ 以上；3、参与过开源项目。"
5037916,重庆大邻盟科技有限公司,golang,本科,不限,9k-15k,饮料 年底奖金  五险,"Linux/Unix,PHP",O2O,天使轮,15-50人,
